year,s,rv,k,cd,rfb,sf,dkp,df,fk,lc,kd,sp,u,v,vs,fp,el,la,alt,other,total
1953,74,14,30,,6,,8,,,,,1,0,42,,,,,,,175
1957,70,14,30,,9,,6,,,,,1,0,45,,,,,,0,175
1960,76,11,32,,0,11,0,,,,,1,6,38,,,,,,0,175
1964,76,10,36,,0,10,0,,,,,0,5,38,,,,,,0,175
1966,69,13,34,,0,20,0,,,4,,,0,35,,,,,,0,175
1968,62,27,37,,0,11,0,,,0,,0,0,34,4,,,,,0,175
1971,70,27,31,,0,17,0,,,,0,0,,30,0,,,,,0,175
1973,46,20,16,14,5,11,6,,,,7,,,22,0,28,,,,0,175
1975,53,13,10,4,0,9,7,,,,9,,,42,4,24,,,,0,175
1977,65,6,15,11,6,7,7,,,,6,,,21,5,26,,,,0,175
1979,68,10,22,6,5,11,0,,,,5,,,22,6,20,,,,0,175
1981,59,9,26,15,0,21,0,,,,4,,,20,5,16,,,,0,175
1984,56,10,42,8,0,21,0,,,,5,,,22,5,6,,,,0,175
1987,54,11,38,9,0,27,0,,4,,4,,,19,0,9,,,,0,175
1988,55,10,35,9,,24,0,,0,,4,,,22,0,16,,,,0,175
1990,69,7,30,9,0,15,0,,0,,4,,,29,,12,0,,,0,175
1994,62,8,27,5,,13,,,,,0,,,42,,11,6,,,1,175
1998,63,7,16,8,,13,,13,,,4,,,42,,4,5,,,0,175
2001,52,9,16,0,,12,,22,,,4,,,56,,0,4,,,0,175
2005,47,17,18,0,,11,,24,,,0,,,52,,,6,,,0,175
2007,45,9,18,,,23,,25,,,0,,,46,,,4,5,,0,175
2011,44,17,8,,,16,,22,,,0,,,47,,,12,9,,0,175
2015,47,8,6,,,7,,37,,,0,,,34,,,14,13,9,0,175
